Program,Date,DateCombined,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,ALABAMA,1,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,700,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,ALASKA,2,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,100,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,ARIZONA,4,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,46300,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,ARKANSAS,5,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,700,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,131400,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,COLORADO,8,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,188100,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,FLORIDA,12,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,7400,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,GEORGIA,13,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,HAWAII,15,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,1100,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,44100,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,ILLINOIS,17,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,INDIANA,18,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,4100,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,IOWA,19,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,KANSAS,20,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,547900,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,KENTUCKY,21,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,4300,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,LOUISIANA,22,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,500,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MARYLAND,24,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,2800,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MICHIGAN,26,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MINNESOTA,27,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MISSISSIPPI,28,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,400,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MISSOURI,29,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,8500,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,1200,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEBRASKA,31,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,584900,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEVADA,32,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,3000,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEW JERSEY,34,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,3500,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEW MEXICO,35,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,500,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NEW YORK,36,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,3200,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NORTH CAROLINA,37,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,7300,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,NORTH DAKOTA,38,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,1000,
SURVEY,01/15/2021,2021-JAN-15,2021,JAN,,STATE,OHIO,39,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,6600,
